os,finance_db,finance_rowid,finance_client,lab_client,score,status,issue,entry,amount,nfs,classification,current_status,decision,link_count
29991,banco_empresa.db,713,MONDELEZ,MONDELEZ,1.0,Liberado,2026-04-09,2026-02-24,2670.35,131,safe,Liberado,mark_invoiced,1
29997,banco_automacao.db,385,MARELLI,MARELLI,1.0,Liberado,2026-03-04,2026-02-27,5371.04,9,safe,Liberado,mark_invoiced,1
30001,banco_empresa.db,661,FIABESA,FIABESA,1.0,Liberado,2026-03-03,2026-03-02,3000.0,85,safe,Liberado,mark_invoiced,1
30009,banco_empresa.db,669,NOVA CONPEL,CONPEL,0.886,Liberado,2026-03-06,2026-03-04,3000.0,95,safe,Liberado,mark_invoiced,2
30010,banco_empresa.db,676,FORTLEV,FORTLEV,1.0,Liberado,2026-03-12,2026-03-04,1000.0,101,safe,Liberado,mark_invoiced,1
30012,banco_empresa.db,715,COAF,COAF,1.0,Liberado,2026-04-13,2026-03-04,27000.0,133,safe,Liberado,mark_invoiced,1
30013,banco_empresa.db,715,COAF,COAF,1.0,Liberado,2026-04-13,2026-03-04,27000.0,133,safe,Liberado,mark_invoiced,1
30014,banco_empresa.db,766,BRF,BRF,1.0,Aprovado,2026-06-05,2026-03-04,16850.0,179,safe,Aprovado,mark_invoiced,1
30015,banco_empresa.db,759,BRF,BRF,1.0,Liberado,2026-06-03,2026-03-04,25000.0,172,safe,Liberado,mark_invoiced,1
30016,banco_empresa.db,679,EDK MINERAÇÃO,EDK,0.808,Em Reparo,2026-03-13,2026-03-04,8825.5,103,safe,Em Reparo,mark_invoiced,1
30018,banco_solucoes.db,1,BRASIL MOLEJO,BRASIL MOLEJO,1.0,Liberado,2026-03-30,2026-03-05,11875.0,1,safe,Liberado,mark_invoiced,2
30021,banco_automacao.db,388,CORR PLASTIK,CORRPLASTIK,0.957,Liberado,2026-03-11,2026-03-09,16333.34,13,safe,Liberado,mark_invoiced,3
30023,banco_empresa.db,690,IF DOS SANTOS,I.F.DOSSANTOS,0.818,Liberado,2026-03-19,2026-03-09,1000.0,109,safe,Liberado,mark_invoiced,1
30026,banco_automacao.db,998,USINA SÃO JOSE DO PINHEIRO,USINA JOSE PINHEIRO,0.905,Aprovado,2026-05-22,2026-03-09,5000.0,30,safe,Aprovado,mark_invoiced,1
30027,banco_empresa.db,679,EDK MINERAÇÃO,EDK MINERAÇÃO,1.0,Liberado,2026-03-13,2026-03-09,8825.5,103,safe,Liberado,mark_invoiced,1
30030,banco_empresa.db,719,ARA TEXTIL,ARA TEXTIL,1.0,Liberado,2026-04-14,2026-03-10,14250.0,136,safe,Liberado,mark_invoiced,1
